id,date_established,year_balance,date_status,status,nuts1,nuts2,nuts3,roe,rcem,solr,rshf,rcem.1,solr.1,empl,rtas,roa,prma,grma,etma,ebma,cfop,evet,mkcf,nat,ic,stot,coll,crpe,liqr,curr,shlq,solr.2,soll,gear,ppe,tpe,sct,ace,sfpe,wcpe,tape
GFB365,1958-10-23,2009,NA,Dissolved,ITH - Northeast,ITH3 - Veneto,ITH34 - Treviso,2.46,3.119,85.787,3.189,3.177,85.788,NA,2.789,1.971,54.671,NA,53.601,51.685,40.481,NA,NA,0.075,NA,139.486,52.925,684.838,0.332,0.329,75.396,85.766,NA,1.346,NA,NA,NA,NA,NA,NA,NA
G89W8O,2009-12-23,2017,NA,Active,ITH - Northeast,ITH5 - Emilia-Romagna,ITH58 - Forli-Cesena,16.574,18.708,50.728,23.682,18.453,50.731,11,11.961,8.36,6.694,NA,7.549,6.45,5.742,NA,NA,2.761,318.709,21.913,63.837,41.049,1.729,1.961,3.511,50.727,NA,27.265,8.182,141.333,21.181,30.122,40.9,16.191,142.279
Q9KZ61,1982-04-14,2017,NA,Active,ITC - Northwest,ITC4 - Lombardia,ITC4B - Mantova,11.396,9.425,36.399,13.373,9.694,36.368,11,4.914,4.135,4.147,NA,6.982,4.623,5.879,NA,NA,2.015,8.797,13.549,141.175,72.992,1.639,1.848,1.599,36.369,57.191,100.958,9.978,238.136,12.549,30.187,72.868,62.915,238.318
932DGZ,2009-01-08,2011,2012-04-30,Dissolved,ITH - Northeast,ITH5 - Emilia-Romagna,ITH52 - Parma,-386.135,-279.762,2.818,-321.045,-279.436,2.824,NA,-9.079,-10.894,-4.406,NA,-2.03,-3.823,-3.496,NA,NA,73.225,-6.618,NA,81.803,13.852,0.821,0.82,NA,2.828,2.898,531.49,NA,NA,25.018,NA,NA,NA,NA
E67HA1,1998-07-01,2012,2014-02-27,Dissolved,ITF - South,ITF4 - Puglia,ITF46 - Foggia,NA,NA,-47.686,NA,NA,-47.691,15,-72.027,-72.028,-38.317,NA,-32.349,-34.559,-36.128,NA,NA,NA,-9.138,6.394,115.086,98.821,0.482,0.679,-14.103,-47.707,NA,NA,-62.709,160.031,15.411,25.14,NA,31.91,160.184
9F7J7B,2000-01-18,2016,NA,Active,ITI - Centre,ITI2 - Umbria,ITI21 - Perugia,39.564,14.666,10.3,61.114,14.738,10.299,45,6.282,4.059,4.822,NA,7.437,5.192,5.396,NA,NA,2.823,14.486,96.767,77.187,94.071,1.059,1.079,0.214,10.32,11.489,420.961,6.323,163.47,18.292,30.134,12.829,-5.845,161.07
2ER74X,1991-11-21,2017,NA,Active,ITI - Centre,ITI1 - Toscana,ITI19 - Siena,2.322,4.277,48.877,3.764,4.389,48.866,13,1.932,1.204,3.208,NA,11.405,4.856,8.533,NA,NA,0.933,2.74,2.968,48.169,148.076,0.821,1.421,2.759,48.854,95.551,37.437,7.726,212.976,18.641,40.143,173.176,13.115,215.077
DE6S84,1992-09-09,2017,NA,Active,ITC - Northwest,ITC4 - Lombardia,ITC4A - Cremona,31.557,37.076,12.144,47.446,37.347,12.149,10,5.734,3.847,6.25,NA,9.621,6.697,7.113,NA,NA,5.524,13.894,55.773,235.885,-0.182,0.762,0.778,2.577,12.124,13.819,37.033,37.147,623.682,8.9,55.847,82.126,419.982,623.843
24Q1WE,1973-12-31,2017,NA,Active,ITH - Northeast,ITH3 - Veneto,ITH31 - Verona,1.03,0.338,7.547,1.35,-0.014,7.533,NA,0.117,0.107,1.356,NA,17.298,1.604,16.732,NA,NA,0.076,6.55,0.492,133.024,313.152,0.381,1.94,0.203,7.537,8.158,NA,NA,NA,NA,NA,NA,NA,NA
78Z6UH,2016-02-19,2017,NA,Active,ITC - Northwest,ITC4 - Lombardia,ITC47 - Brescia,NA,-622.516,-5.447,NA,-622.806,-5.464,23,-5.923,-5.929,-3.242,NA,-1.799,-3.151,-1.889,NA,NA,197.943,-39.269,5.737,54.966,183.91,0.509,0.838,-1.06,-5.46,NA,NA,-6.355,199.717,14.482,29.1,NA,-36.834,200.705
28X6LN,2008-04-03,2011,NA,Liquidation,ITC - Northwest,ITC4 - Lombardia,ITC4C - Milano,19.8,78.053,0.559,205.426,78.112,0.569,42,1.14,0.106,1.846,NA,2.363,2.116,0.432,NA,NA,37.205,8.571,1.32,0.024,504.969,0.488,0.961,0.665,0.561,0.561,NA,-0.812,46.134,29.861,13.914,0.107,-30.064,47.558
51P3TN,2009-07-13,2017,NA,Active,ITF - South,ITF3 - Campania,ITF33 - Napoli,21.768,29.79,77.652,30.383,29.787,77.639,15,23.736,16.778,16.116,NA,18.776,16.188,13.996,NA,NA,1.832,251.083,NA,0.081,0.05,4.388,4.39,27.17,77.653,NA,3.679,26.565,166.652,13.779,23.151,86.974,0.188,165.278
VTA588,1984-08-02,2017,NA,Active,ITH - Northeast,ITH3 - Veneto,ITH36 - Padova,0.446,0.807,84.017,0.992,0.762,84.014,8,0.713,0.2,2.109,NA,10.232,2.207,8.617,NA,NA,0.363,16.915,4.541,103.106,68.825,2.929,3.659,14.479,84.013,NA,7.596,4.087,186.715,15.901,29.833,460.921,59.075,189.418
5SZ19K,2012-12-12,2017,NA,Active,ITI - Centre,ITI4 - Lazio,ITI43 - Roma,38.31,38.212,38.01,54.183,38.294,38.027,10,20.609,14.492,10.571,NA,12.475,10.634,9.274,NA,NA,3.599,152.03,34.204,80.981,78.102,1.18,1.302,2.483,38.01,61.308,43.334,40.285,378.23,6.96,25.898,73.86,13.92,381.051
M69X8U,1987-07-06,2017,NA,Active,ITC - Northwest,ITC4 - Lombardia,ITC4A - Cremona,0.687,4.42,25.737,2.799,4.491,25.717,6,0.748,0.15,0.611,NA,4.131,1.727,2.558,NA,NA,2.476,1.415,81.838,-0.064,-0.125,1.34,1.372,1.004,25.704,34.619,94.578,3.407,453.15,5.191,24.104,93.882,6.192,453.472
7R1O8Y,1978-01-01,2017,NA,Active,ITC - Northwest,ITC4 - Lombardia,ITC47 - Brescia,8.425,8.467,57.739,11.182,8.335,57.741,11,6.486,4.817,7.604,NA,9.799,7.74,7.733,NA,NA,1.084,65.678,1.451,83.892,74.109,1.258,3.832,2.987,57.751,NA,41.354,89.107,1160.956,3.679,43.139,790.143,820.173,1162.072
8WE8R9,1971-11-08,2016,NA,Active,ITF - South,ITF3 - Campania,ITF33 - Napoli,38.032,7.508,1.031,26.261,7.324,1.027,1,0.276,0.371,3.763,NA,34.769,4.296,35.896,NA,NA,1.73,8.042,NA,259.892,186.015,0.17,0.168,0.493,1.014,1.041,NA,9.579,303.54,5.632,16.887,42.962,63.196,305.895
EG2K35,2005-07-23,2017,NA,Active,ITC - Northwest,ITC1 - Piemonte,ITC16 - Cuneo,23.997,32.775,81.449,33.768,32.724,81.456,32,27.396,19.579,28.788,NA,31.559,28.651,23.414,NA,NA,1.135,NA,8.279,87.123,44.997,4.918,5.61,39.775,81.466,NA,2.534,114.026,389.938,9.768,38.127,335.049,92.019,389.841
Y11HW5,2002-03-29,2017,NA,Active,ITH - Northeast,ITH4 - Friuli-Venezia Giulia,ITH43 - Gorizia,25.247,34.233,36.818,37.538,33.974,36.78,25,13.786,9.299,12.415,NA,13.956,11.99,10.282,NA,NA,2.614,19.09,2.303,-0.04,0.062,0.729,1.559,6.454,36.805,58.222,15.139,31.748,246.616,14.019,34.075,81.815,105.812,245.964
