Date,SP500,CLX,STJ,STT,CBG,BDK,UPS,MHS,AES,INTU,CNP,MCO,APC,WMB,TXT,GILD,LLY,JNPR,PEG,BUD,EIX,EDS,BRL,FDX,ROK,PEP,HAL,PAYX,SBUX,ACAS,ITW,WFC,SVU,WFMI,DUK,CBH,TEG,CSCO,JCI,GD,ABI,MCK,BAC,ROH,LLL,HD,JCP,NBR,A,CTXS,CSX,ETR,UNP,TSS,ZION,DF,AET,SEE,CI,PLL,FII,MAT,EXPE,SPLS,NSM,PCP,EXPD,VZ,SRE,JPM,XOM,SSP,TEX,NVLS,BF.B,CTAS,VIA.B,WU,TMO,NBL,GPS,MTB,ACE,AMD,DE,BMS,XLNX,CBS,JDSU,CNX,CELG,COST,PBI,DD,LLTC,HON,PKI,CPWR,CTL,LTD,CFC
2002-01-02,1154.67,34.63,18.75,48.17,NA,34.56,48.87,NA,16.79,20.77,19.05,19.44,26.21,23.58,18.56,7.68,66.92,20.79,16.56,40.08,13.79,60.83,35.11,49.9,15.71,44.41,5.56,30.91,9.76,16.23,30.93,17.9,19.01,19.88,17.4,17.55,27.32,19.23,12.25,36.52,36.31,36.05,24.59,30,42.55,46.64,23.7,16.51,27.56,22.65,16.51,33.11,51.51,18.04,45.2,NA,7.84,19.93,29.06,21.8,27.66,14.56,NA,11.69,15.69,13.62,13.84,35.88,19.63,28.89,34.55,32.02,8.76,41.6,27.98,45.91,NA,NA,23.5,16.81,13.27,64.7,35.1,16.39,19.5,20.96,39.49,NA,73.04,10.62,7.85,42.77,31.85,34.94,37.63,28.98,31.34,11.59,31.57,12.65,9.16
2002-01-03,1165.27,34.72,18.57,48.9,NA,34.39,49.77,NA,16.5,20.5,19.08,19.48,25.54,23.25,18.32,7.33,66.2,21.99,16.39,40.19,13.77,58.3,34.67,51.25,16.33,44.08,4.95,31.46,10.21,16.33,31.04,17.97,19.25,19.97,17.2,17.87,27.59,20.76,12.29,36.97,34.46,35.93,24.56,30.91,43.53,46.33,23.52,16.05,29.3,23.49,17.39,32.78,53.4,18.09,45.94,NA,7.66,20.49,28.88,21.83,27.92,14.73,NA,11.68,17,13.83,13.88,37.08,19.62,29.66,34.6,31.93,8.87,45.71,28.29,46.57,NA,NA,24.01,16.59,13.6,65.32,34.69,19.37,19.93,21.27,43.34,NA,76.16,10.57,7.45,43.15,33.03,35.86,39.43,29.56,32.09,12.26,31.59,12.64,9.05
2002-01-04,1172.51,34.36,18.45,50.07,NA,34.92,50.84,NA,17.45,20.23,18.73,19.86,25.64,22.63,19.14,7.68,66.23,21.53,16.13,40.66,13.74,60.42,34.51,53.02,16.7,43.69,4.63,31.82,11.06,16.33,31.59,18.02,19.3,19.9,16.83,18.49,27.31,20.83,12.46,37.8,36.07,35.21,24.95,31.98,43.94,47.16,24.08,16.52,30.89,23.23,17.88,32.7,54.6,18.33,46.33,NA,8.3,19.77,29.1,22.03,28.92,15.31,NA,11.86,16.69,14.22,14.53,37.45,19.77,31,34.9,32.14,8.99,44.79,28.47,46.59,NA,NA,24.04,16.76,14.54,66.67,34.24,20,20.23,21.48,43.44,NA,80.16,10.78,7.66,43.1,32.65,36.73,40.23,30.02,32.44,12.98,31.18,12.97,9.2
2002-01-07,1164.89,34.23,18.19,50.97,NA,34.65,51.25,NA,17.84,19.98,19.08,19.55,25.92,22.7,19.07,7.69,65.51,21.64,16.13,40.44,13.98,60.54,34.15,54.19,16.17,43.44,5,31.08,10.92,16.24,31.25,18.04,18.94,19.9,17.11,18.42,27.37,20.53,12.39,38.32,35.74,34.98,24.65,31.95,44.13,46.83,24.37,16.6,30.76,22.98,17.99,32.7,54.54,18.14,46.3,NA,8.28,19.71,28.86,21.99,28.71,15.41,NA,11.6,16.28,13.9,14.38,37.22,19.81,30.92,34.6,32.37,8.94,43.95,29.14,46.23,NA,NA,24.26,16.9,14.06,66.81,33.89,19.98,20.03,21.46,42.41,NA,77.68,11.28,7.53,42.46,32.77,36.34,38.89,30.1,31.39,12.82,30.82,12.91,9.26
2002-01-08,1160.71,34.28,18.02,50.33,NA,34.22,51.35,NA,17.77,20.75,18.82,20.03,25.23,23.13,18.9,7.98,64.49,21.4,15.72,40.35,13.58,59.68,34.71,53.91,16.53,43.19,4.98,30.88,11.35,16.48,30.95,17.97,19.14,19.99,16.76,18.46,27.22,20.95,12.16,37.52,33.92,34.25,24.26,32,43.99,47.3,25.14,16.18,30.86,22.85,17.56,32.75,53.92,18.02,46.22,NA,8.25,19.52,28.71,21.72,28.43,15.43,NA,11.39,16.22,13.54,14.51,37.14,19.93,30.68,34.64,32.7,8.81,44.03,28.78,47.18,NA,NA,24.37,16.71,14.08,66.2,33.55,19.9,19.78,21.43,42.7,NA,77.04,10.94,7.49,42.74,33.07,35.98,38.74,29.51,31.34,13.11,30.15,13.1,9.14
2002-01-09,1155.14,34.24,18.34,50.77,NA,34.57,50.98,NA,17.3,20.01,18.55,19.61,25.12,23.25,19.09,8.23,64.2,21.12,15.68,40.04,13.71,61.24,34.53,52.7,16.79,43.02,5.5,31.62,10.94,15.91,30.9,17.88,19.58,19.88,16.94,18.65,26.93,20.85,11.98,36.97,34.64,33.78,24.2,31.73,43.8,46.52,24.11,16.3,30.12,23.96,17.28,33.22,53.11,18.38,46.01,26.03,8.56,19.7,29.4,21.73,28.44,15.6,NA,11.27,16.07,13.44,14.39,36.45,19.86,30.77,34.24,32.93,8.74,44.42,28.88,46.53,NA,NA,23.29,16.54,13.67,66.11,34.2,19.09,19.34,21.19,42.33,NA,76.64,10.86,7.29,42.48,33.29,35.9,39.07,29.9,30.73,13.02,30,13.04,9.15
2002-01-10,1156.55,34.15,18.53,51.54,NA,34.39,51.02,NA,17.2,18.66,18.65,19.44,24.45,23.12,18.96,8.47,65.47,20.38,15.71,40.01,13.74,61.69,34.68,51.96,16.39,43.51,5.24,32.96,11.23,15.97,30.58,17.92,19.73,19.82,16.92,18.47,27.11,21,11.87,36.18,33.84,33.48,24.22,30.96,43.6,46.56,23.63,15.7,29.89,23.98,17.18,34.19,53.46,17.94,45.95,24.32,8.64,19.33,29.18,21.71,28.11,15.73,NA,11.36,15.73,13.18,14.36,36.82,19.85,31.11,34.37,33.06,8.8,43.88,28.93,46.93,NA,NA,23,16.32,15.39,67.82,33.78,18.64,18.94,21.08,41.83,NA,75.52,10.67,7.26,43.01,33.33,35.05,38.97,29.34,30.34,12.97,29.86,13.35,9.21
2002-01-11,1145.6,34.46,18.74,51.53,NA,33.94,50.72,NA,16.43,19.58,18.36,19.4,23.31,23.16,18.01,8.64,65.13,19.26,15.57,40.28,13.63,60.19,34.61,49.42,15.84,43.78,4.96,33.08,10.94,15.6,30.55,17.85,19.75,19.51,16.77,18.9,27.08,20.21,11.38,35.33,34.17,34.48,23.79,30.05,42.93,46.71,23.14,14.73,29.25,23.22,16.84,34.11,52.94,18.01,45.43,24.16,8.89,19.16,29.4,21.59,27.89,15.86,NA,11.52,15.3,13.12,13.94,37.06,19.8,30.47,33.59,32.68,8.7,43.01,28.85,46.27,NA,NA,22.97,15.91,14.86,66.6,33.8,19.15,19.54,20.87,40.9,NA,72.16,10.33,7.19,42.04,32.97,35.02,38.38,28.85,30.2,12.87,29.91,12.77,9.05
2002-01-14,1138.41,34.28,18.8,50.71,NA,33.26,50.28,NA,16.27,19.51,18.57,19.47,23.36,22.83,17.74,8.59,65.64,18.1,15.78,41,13.92,59.83,34.8,49.71,15.74,43.61,4.88,32.91,10.95,15.58,30,17.73,19.88,19.06,16.88,18.53,26.85,19.63,11.44,35.42,33.02,35.31,23.72,29.44,42.52,45.85,22.69,14.15,28.66,22.44,16.45,34.41,52.01,18.01,44.89,23.63,8.88,18.76,29.49,21.29,27.56,15.6,NA,11.43,14.88,12.95,13.53,37.52,20.03,29.65,33.71,32.19,8.65,42.72,29.38,45.68,NA,NA,23.15,15.72,14.64,65.93,32.24,19.61,19.32,20.53,40.1,NA,69.44,9.88,7,41.46,32.59,34.16,37.45,27.51,29.57,13.31,29.72,12.96,9.16
2002-01-15,1146.19,34.8,18.9,51.25,NA,33.31,50.25,NA,16.28,19.55,18.85,19.41,23.81,22.45,17.77,8.62,65.68,17.96,15.92,40.58,13.91,59.97,34.66,49.01,16.12,43.93,4.84,33.77,10.95,15.94,29.67,18.68,20.06,18.97,16.9,18.94,27.26,19.68,11.42,35.26,33.49,34.5,24,29.61,43.41,46,22.63,14.5,28.69,22.29,16.37,34.65,52.45,18.46,45.32,24.39,8.89,18.38,29.78,20.76,28.1,15.51,NA,11.49,14.74,13.39,13.85,37.35,20.33,30.1,34.29,32.21,8.28,42.31,29.36,45.98,NA,NA,23.07,16.03,13.72,67.73,33.05,19.15,19.08,20.45,39.94,NA,71.2,9.99,7.25,41.22,32.32,34.41,37.05,26.68,29.58,13.4,29.47,12.99,9.41
