"MonthlyEarnings","AveWeeklyHours","IQ","Knowledge","YearsEdu","YearsExperience","Tenure","Age","Married","Black","South","Urban","NumSiblings","BirthOrder","MomEdu","DadEdu"
1596.58,1776,107,37,12,17,12,35,1,0,0,0,2,3,NA,NA
1067.94,1188,91,39,12,6,12,36,1,0,0,1,5,4,9,10
600.79,668,125,44,17,9,2,31,1,0,1,1,3,1,16,13
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
494.34,550,76,26,12,12,2,31,1,1,1,0,0,1,9,10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1182.66,1316,101,30,12,11,6,30,1,0,0,1,3,1,10,10
1707.76,1900,109,33,15,11,1,29,1,0,1,1,2,1,11,9
967.41,1076,92,41,12,16,17,38,1,0,0,0,12,1,8,4
1024.17,1139,114,48,13,15,16,37,1,0,1,1,3,1,12,NA
947.31,1054,100,30,14,6,10,29,1,1,1,1,2,1,NA,NA
946.12,1052,112,39,12,15,3,34,1,0,0,1,6,4,7,NA
565.3,629,90,35,10,19,10,34,1,0,1,1,2,1,9,9
2527.34,2811,108,45,16,11,2,36,1,0,0,1,2,3,12,NA
960.32,1068,81,20,10,17,13,34,1,1,1,1,2,2,8,3
1228.78,1367,113,49,14,12,8,34,1,0,0,1,1,2,16,14
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1170.82,1302,108,42,13,13,9,33,1,0,0,0,4,1,16,16
1182.66,1316,112,47,14,15,4,35,1,0,0,1,4,1,12,10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1023,1138,85,44,13,4,9,34,1,0,1,1,3,3,8,8
1894.61,2107,97,47,15,14,14,37,1,0,0,1,1,1,8,NA
1123.52,1250,81,29,11,16,5,35,1,0,1,0,3,4,10,6
1023,1138,110,35,16,1,11,31,1,0,0,1,3,1,9,12
1506.7,1676,106,35,13,11,12,31,1,0,0,1,0,1,15,12
2062.55,2294,106,41,16,8,9,29,1,0,1,1,1,1,12,16
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
709.59,789,120,45,15,12,1,38,1,0,0,0,3,4,12,NA
1465.31,1630,109,44,12,16,4,38,1,0,0,1,3,3,12,NA
937.85,1043,96,43,12,17,18,36,1,0,0,0,4,5,8,8
1374.24,1529,89,39,12,11,4,37,1,0,1,1,3,3,15,NA
1421.55,1581,102,32,13,10,3,31,1,0,1,1,7,7,8,6
1123.52,1250,96,38,12,14,2,35,1,0,0,1,1,1,8,2
1892.25,2105,109,44,14,16,5,33,1,0,0,0,2,NA,9,10
960.32,1068,98,42,12,10,2,29,0,0,0,1,3,2,12,12
636.26,708,77,22,12,12,10,28,1,1,1,0,9,NA,7,NA
1064.39,1184,103,38,12,15,1,37,1,0,1,0,3,3,8,6
493.17,549,131,39,12,7,1,28,0,0,0,1,1,2,12,6
1224.05,1362,107,42,12,21,14,38,1,0,0,1,1,2,11,8
577.14,642,103,40,17,5,3,31,1,0,1,1,1,NA,12,16
1276.08,1419,87,33,12,18,9,36,1,0,0,1,5,5,8,NA
980.42,1091,98,33,12,15,15,36,1,0,0,1,4,5,8,8
843.24,938,75,25,12,5,12,36,1,1,1,1,7,4,NA,NA
630.36,701,65,21,12,5,1,32,0,1,0,1,5,1,11,12
1124.7,1251,116,40,12,9,7,30,1,0,0,1,4,5,12,9
675.29,751,66,20,9,15,10,33,1,0,1,0,5,1,8,6
946.12,1052,105,42,14,12,12,37,1,0,0,0,3,2,10,12
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1591.85,1771,108,51,16,9,4,36,1,0,0,1,1,2,12,10
946.12,1052,115,39,18,11,1,35,1,0,1,1,0,1,8,8
591.33,658,101,31,14,12,0,32,1,0,0,0,2,2,11,6
739.16,822,73,24,11,1,1,31,1,0,0,1,3,4,12,12
1478.33,1644,114,37,16,8,8,30,1,0,0,1,5,3,2,8
739.16,822,110,32,12,18,0,35,1,0,0,1,4,1,9,8
1195.66,1330,104,43,12,20,7,37,1,0,1,1,0,1,NA,NA
978.05,1088,105,29,16,7,8,30,1,0,0,1,2,1,16,12
1219.32,1356,112,24,14,9,5,29,1,0,0,1,4,2,12,12
1182.66,1316,93,32,11,16,14,34,1,0,0,1,1,NA,12,8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1348.23,1500,109,43,12,16,15,35,1,0,0,1,2,2,11,6
974.51,1084,92,37,12,19,15,38,1,0,0,1,1,1,12,11
1091.59,1214,105,54,18,7,14,34,1,0,0,1,1,1,12,12
794.74,884,96,38,12,13,3,34,1,0,0,1,2,NA,12,13
1576.48,1754,106,38,15,5,1,30,1,0,1,1,2,2,12,12
1108.15,1233,102,36,12,16,8,35,1,0,0,1,3,2,12,6
573.59,638,120,43,12,11,1,30,1,1,1,1,6,6,NA,NA
1125.89,1252,99,34,13,10,10,31,1,1,0,1,1,1,8,10
1114.06,1239,85,36,12,7,10,38,1,0,0,1,4,5,NA,NA
1636.8,1821,114,48,18,12,2,37,1,0,0,1,1,1,12,13
664.65,739,90,46,13,4,1,38,1,0,1,0,1,1,12,11
1932.45,2150,94,39,13,18,18,36,1,0,1,1,2,2,8,8
1536.27,1709,125,44,18,6,12,35,0,0,0,1,1,2,8,8
1039.55,1156,118,41,18,1,9,31,1,0,0,1,1,2,13,13
716.68,797,100,39,18,6,5,30,0,0,0,0,1,NA,12,12
512.09,570,98,28,12,11,10,30,0,0,0,1,1,1,12,11
910.64,1013,105,34,17,7,11,30,1,0,0,1,3,1,12,12
934.29,1039,115,34,12,15,2,34,1,0,0,0,6,5,6,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1183.84,1317,109,48,12,20,22,37,1,0,0,1,1,1,8,10
603.15,671,62,34,11,13,4,33,0,1,1,1,7,6,2,10
1875.69,2086,92,47,14,16,1,36,1,0,1,1,4,4,12,NA
750.98,835,105,29,12,15,15,33,1,0,0,0,2,2,10,NA
1478.33,1644,117,31,14,7,1,28,1,0,0,1,1,2,12,12
591.33,658,83,39,12,18,11,36,1,1,1,1,0,1,7,NA
1123.52,1250,86,31,10,23,5,38,1,0,1,1,9,9,NA,6
1416.82,1576,117,39,16,7,9,30,1,0,1,1,1,2,12,12
985.16,1096,96,37,16,9,7,31,1,0,0,1,4,4,12,14
664.65,739,99,25,12,18,12,34,0,0,0,0,1,1,12,12
2009.33,2235,100,40,12,11,9,33,1,0,0,1,1,2,12,8
761.63,847,101,38,12,11,5,33,1,0,1,0,4,3,12,NA
1076.21,1197,95,27,12,16,5,35,1,0,1,1,2,3,12,14
566.49,630,97,45,12,15,1,38,1,0,1,0,3,4,NA,NA
532.19,592,95,31,11,12,2,30,1,0,1,0,2,3,8,8
1182.66,1316,72,20,12,16,9,34,1,0,0,1,3,4,12,12
894.09,995,78,29,14,9,2,31,1,0,0,1,2,2,12,12
1591.85,1771,99,33,16,9,8,30,1,0,0,1,2,NA,11,12
727.33,809,99,49,15,16,15,38,1,0,0,0,2,3,12,14
1251.24,1392,120,44,16,16,13,37,1,0,0,0,5,4,12,4
942.58,1048,90,36,16,11,5,33,1,0,0,1,5,2,14,17
1078.58,1200,96,32,16,11,5,30,1,0,0,1,2,2,14,12
862.16,959,122,40,18,6,13,34,1,0,0,1,3,3,8,6
