"vCap" "vLab" "vMat" "qApples" "qOtherOut" "qOut" "pCap" "pLab" "pMat" "pOut" "adv"
219183 323991 303155 1.39180303 0.97727197 1374063.5 2.6077559 0.89981103 8.89367199 0.660351540722865 0
130572 187956 262017 0.863985 1.07218599 1122979.1742 3.29204798 0.752518 6.41898489 0.715548994544106 0
81301 134147 90592 3.31679797 0.40478501 2158518.1284 2.19431496 0.95623702 3.74046493 0.936749362319523 1
34007 105794 59833 0.43849799 0.43631101 507389.22 1.602476 1.26810002 3.16701698 0.59697507837487 1
38702 83717 104159 1.83125198 0.014982 1070815.7084 0.86629498 0.93828601 7.22140789 0.825385604736087 1
122400 523842 577468 8.48330402 0.42503199 5166834.8858 1.028355 0.95643699 9.61168861 1.3907442328703 1
89061 168140 343768 4.12225389 3.29530907 4302186.5168 0.97721398 1.00152099 7.75967121 1.3258699437012 1
92134 204859 126547 2.15437388 1.05843401 1863428.5762 1.03982198 0.91536701 5.02713394 0.618334391318289 0
65779 180598 190622 1.77464402 2.60257196 2538785.2684 2.467659 1.01782703 5.63146687 1.90642615680408 0
94047 142240 82357 1.62060595 0.44512501 1198123.9568 0.98491502 0.64020902 5.61695719 0.485052823688608 0
51105 90317 120669 1.40003896 1.01379395 1400023.0878 1.27226698 0.96198201 3.9828589 0.732534571497158 1
121294 259996 213792 2.66765594 1.14923894 2213799.0304 1.13958001 1.12498498 6.03997612 0.715093075564604 1
91365 173695 124930 1.85836995 0.84628397 1568699.2736 2.23785996 0.94957602 7.60335779 1.14727303807638 1
62060 211674 176353 3.20881009 0.31597301 2044374.198 0.80583203 1.02560198 5.95112324 0.78635090124189 1
92771 140435 195406 0.00061 0.651362 378143.76 0.97125101 1.24546599 4.24868679 0.792681337574849 0
87250 379100 149205 7.90187407 0.73455501 5009128.8664 1.42190897 1.13930702 5.56974888 1.70423327642624 1
45140 112180 76106 0.512784 0.162789 391832.34 1.98907602 1.38147295 4.34836483 0.572569914954411 1
359628 357473 591126 0.16584501 4.29091501 2584920.8116 1.30224502 0.83845901 15.57769394 0.641611557543648 0
32937 94655 35706 0.057995 0.243899 175098.52 0.27209601 1.19962597 2.84778094 0.83811883110956 0
96046 244486 114494 4.27335787 1.57885504 3394283.4878 1.41214502 0.95942599 6.63235521 1.21728409625886 0
188396 314281 243818 9.43192291 1.17421496 6151559.9646 0.66197997 0.906268 7.91128302 0.753265776637937 0
126545 306383 295205 4.36928797 2.62347603 4055803.12 1.42207897 0.905734 8.67070389 1.31980772828786 0
109345 259087 178305 0.96841902 1.91649902 1673252.4632 1.853971 0.79280299 9.42532253 0.954457878225771 0
93584 178047 137807 2.27140808 1.42960799 2146589.3206 0.68858898 0.77541298 6.54034615 0.582981059129228 0
71021 134507 164101 0.16218799 1.18898499 783680.3284 1.11300099 0.79332697 5.32988691 0.849560786987874 0
40299 178817 164764 0.70836198 1.64148295 1362910.0594 1.50011206 0.79235202 4.51899719 0.874241326318376 0
33724 116436 115017 0.72825801 1.18957996 1112346.0226 0.766002 0.77855903 5.06315613 0.641712771651539 1
127818 266972 149261 2.2997489 3.1189611 3142851.8 1.06001198 0.879282 4.19024801 0.615188260394279 1
26699 148599 48639 0.00407 0.44272801 259142.8458 0.75900298 1.15900302 3.06804299 0.825305586902932 0
81871 137601 122371 0.10887 2.64190412 1595448.9896 1.55160499 0.79584599 6.22111988 0.786750677065645 1
82391 146922 192180 1.22238004 1.44412005 1546570.0522 1.03442895 0.824597 7.97753906 0.709483077880967 1
51203 152571 96182 0.246006 0.75254101 579157.2658 3.59124899 0.79499501 4.89488077 0.803602095243497 0
138914 178894 155967 1.40747905 1.26187694 1548226.4742 4.48455811 0.920793 9.9476862 1.71713086132842 1
75513 231489 149965 0.578915 1.17445004 1016951.7232 1.00622904 0.87205702 6.59525204 0.515671302892826 1
111461 139453 98187 2.62820196 0.44646701 1783308.0026 0.93243998 0.49282101 4.18308878 0.457194171126429 1
64341 140108 66836 0.97531998 0.731031 989683.5684 1.25506794 1.24972105 2.91025305 0.537470170392089 1
15659 168526 42942 0.026046 0.19446599 127896.9542 0.48071101 1.13205004 4.61222315 0.806178396549371 1
35067 114120 28789 0.012209 0.169246 105243.9 1.86626697 0.96249199 5.07775879 0.82629802779156 0
9724 116529 63282 0.269416 1.96501505 1295970.009 0.63841897 0.87266803 5.66779423 1.64720510382222 1
52058 131770 83419 1.17738998 2.68988895 2243021.7794 0.421047 0.87037599 7.4473629 0.689231013344148 0
64093 194924 171968 2.88290906 5.63219881 4938762.5646 1.39594305 0.95907098 7.64506197 2.55502251166601 0
70179 184920 154311 1.68320501 5.41677189 4117986.602 0.77420402 0.780563 9.01590347 1.24578631716978 1
56367 133843 78372 0.51094198 2.06369901 1493291.7742 0.735062 0.82177401 4.89277697 0.58395927430334 0
43404 167926 136146 0.212248 5.173244 3123585.36 0.79563898 1.26344204 9.7028532 2.27433081051095 1
121669 129843 123807 0.040697 0.51329702 321316.5316 1.204952 1.09573996 9.44891644 0.813538451816818 1
66428 108943 154379 0.94215101 1.33309102 1319640.3774 0.68451101 0.95638001 4.56660509 0.513026262361496 0
49886 128424 36367 1.34918404 0.647789 1158244.3632 0.735901 0.860717 3.48811007 0.51030775261199 0
58223 146872 100054 0.222618 1.754879 1146948.26 0.95798802 0.96674597 3.84867907 0.542554668764403 0
85467 167952 167029 0.61655998 1.81031299 1407586.3226 0.58579201 1.17555499 10.44715786 0.659571731772971 1
46883 144803 39615 0.653835 1.27086794 1116327.7052 0.83122897 0.82359999 4.80265999 0.584876242746435 1
22779 109839 27781 0.766976 1.20273697 1142433.5226 0.35625401 0.82140398 3.28586507 0.508292084852377 1
76628 127412 94866 1.42518306 0.83786398 1312567.2832 1.11704898 1.229491 7.20114517 0.814234708214248 1
66226 186910 42027 0.061452 0.226933 167263.3 1.67278504 1.23375201 5.44109297 0.804746481845354 0
68508 105996 46863 0.86866301 1.09024203 1136164.9232 2.1042099 1.22597897 3.94035196 0.824803590767204 1
68124 135198 108812 0.39641199 0.43898499 484530.2484 1.19314206 0.72289598 6.49998617 0.834667588309456 0
67084 150656 107940 0.61330098 0.96638799 916219.6026 0.76562703 0.76817298 8.17883682 0.520322810711536 1
39519 207951 68576 0.075291 0.81873101 518532.7658 0.58411902 1.22890103 3.15882492 0.82768289902541 0
9101 165563 81158 0.124743 0.66731 459390.74 0.16780201 1.19835496 10.2014513 0.544094922819493 1
10411 79569 27921 0.066743 0.097725 95391.44 0.208114 0.75492299 3.60121012 0.836895768039033 0
372124 364804 364587 0.47797301 3.14087105 2098929.5548 2.02218795 1.07947004 15.7057991 0.836963153093797 1
21297 227096 57420 0.142445 0.25916299 232932.6342 1.32216406 1.16369498 9.73336792 0.793638515251177 1
52838 166233 75106 0.673141 0.55973601 715068.6658 1.138726 1.19210398 4.00494623 0.509819459053388 0
229404 261148 223813 0.26879701 3.33175802 2088321.9174 0.79251802 0.94713801 5.78709221 0.931582245653782 0
120080 233594 108963 1.01745105 4.31673813 3093829.7244 1.84773397 1.26945806 10.35396957 2.04910559398841 0
84041 159727 110017 0.46393999 1.46961403 1121461.3316 1.24557805 0.77056599 6.24018621 0.574882896935255 0
216974 526229 780759 9.20825195 2.63926411 6871559.3148 1.33029401 1.16056895 13.59837055 2.04369472844385 1
219843 404044 535014 5.47997189 0.257355 3327649.5962 1.06751096 1.01694202 12.51665306 0.867071249791381 1
100875 229746 368581 3.57155108 0.79796499 2534319.3206 0.81932902 1.25493002 9.74719906 0.993111622857193 1
225349 707031 585758 5.30208397 2.6764729 4627562.9846 2.01925802 1.22423995 12.04307747 1.92590377468083 1
175380 524671 1082633 15.81723213 0.068529 9213741.4554 0.312051 1.218889 12.74666882 0.939150800696458 1
79100 116701 146960 2.81172991 0.455163 1894797.8878 1.32569897 0.82642198 10.25586796 1.13784635924593 0
76444 112628 62311 0.64442301 1.93382502 1495383.8574 0.86820298 0.91736501 4.74295282 0.572657340668001 0
34076 141479 75184 0.45176199 5.49314022 3448043.2818 0.83940703 0.86413997 5.52846384 1.50018389395347 1
33552 162457 43276 0.35264301 0.164113 299718.4858 4.33499289 1.19329703 5.27421618 1.03112824693348 0
125539 130007 54450 0.20796201 1.05252302 731081.3174 1.93299401 0.89589697 4.68150711 0.881423410914721 0
164978 386819 211407 0.018314 3.03587604 1771430.2232 1.82874501 1.57253695 7.08457613 0.878817195572642 1
162923 193878 72714 0.134297 4.36448383 2609292.8814 2.48218703 1.17028797 3.9441359 0.839142986436108 0
54845 131352 52347 0.2572 0.16303299 243735.1342 0.94291401 1.18447495 8.77968025 0.828076286864884 0
25010 147750 80211 0.002035 1.06257999 617476.6942 1.00201201 1.20959997 5.7592082 0.819113312135698 1
21818 106150 50932 0.16482 0.43175399 346012.9142 1.52656496 1.22745097 5.7017889 0.818491791840131 1
94977 97659 89101 0.46963501 1.44976294 1113250.811 1.40880203 1.23117602 5.58145809 0.664432044887924 1
148151 415893 371945 3.94165206 4.18915892 4715870.3684 1.38635802 1.21748805 3.87060189 0.85996134229377 1
88192 245446 84908 5.58508682 0.34725401 3440757.6814 0.63975501 1.72209203 7.43843079 1.13262804788205 1
395305 351084 466966 7.51649523 5.96256018 7817852.1378 1.01219404 0.95573002 6.67934513 0.672704254654562 1
157761 217979 348562 2.8962009 3.15977192 3512464.2356 1.00363696 0.95644701 8.16086388 0.80879197583366 0
253436 322689 523850 6.48246002 0.37984601 3980137.4974 1.04653001 0.892856 11.04115868 0.766301776813352 1
137972 236074 185859 5.72647381 0.83568799 3806053.844 1.31206203 1.19584095 7.46914101 1.18742678275146 1
35886 186393 172679 1.84854698 0.84780902 1563886.48 0.51419097 1.05311203 9.79576397 0.987688724072692 1
37672 93482 207018 2.02850699 3.83243394 3399345.7394 1.16679394 0.60977203 6.09263086 1.53016148752283 0
174806 686693 549315 14.60114574 4.69970608 11194494.0556 0.548033 0.90148699 8.25789738 0.99026649813014 1
43848 162176 203917 2.41572595 1.43936205 2235951.04 0.33753401 1.07700098 6.10739279 0.652563878960655 1
