quarter	gas	price	income	miles
1959.1	-8.015248	4.67575	-4.50524	2.647592
1959.2	-8.01106	4.691292	-4.492739	2.647592
1959.3	-8.019878	4.689134	-4.498873	2.647592
1959.4	-8.012581	4.722338	-4.491904	2.647592
1960.1	-8.016769	4.70747	-4.490103	2.647415
1960.2	-7.976376	4.699136	-4.489107	2.647238
1960.3	-7.997135	4.72129	-4.492301	2.647061
1960.4	-8.005725	4.722736	-4.496271	2.646884
1961.1	-8.009368	4.706207	-4.489013	2.648654
1961.2	-7.989948	4.675196	-4.477735	2.650421
1961.3	-8.003017	4.694643	-4.469735	2.652185
1961.4	-7.999592	4.68604	-4.453429	2.653946
1962.1	-7.974048	4.671727	-4.446543	2.65377
1962.2	-7.972878	4.679437	-4.441757	2.653594
1962.3	-7.970209	4.668647	-4.439475	2.653418
1962.4	-7.963876	4.688853	-4.439333	2.653242
1963.1	-7.959317	4.675881	-4.437187	2.65148
1963.2	-7.951941	4.652961	-4.434306	2.649715
1963.3	-7.965396	4.658816	-4.427777	2.647946
1963.4	-7.960272	4.653714	-4.414002	2.646175
1964.1	-7.936954	4.645538	-4.39974	2.645998
1964.2	-7.92301	4.635629	-4.379863	2.64582
1964.3	-7.911883	4.631469	-4.371019	2.645643
1964.4	-7.918471	4.637514	-4.362371	2.645465
1965.1	-7.916095	4.652727	-4.360062	2.64582
1965.2	-7.894338	4.658141	-4.349969	2.646175
1965.3	-7.889203	4.656464	-4.327738	2.646529
1965.4	-7.871711	4.655432	-4.313128	2.646884
1966.1	-7.860066	4.644139	-4.309959	2.64511
1966.2	-7.840754	4.644212	-4.308563	2.643334
1966.3	-7.837658	4.647137	-4.29928	2.641554
1966.4	-7.838668	4.653788	-4.289879	2.639771
1967.1	-7.836081	4.659936	-4.278718	2.639057
1967.2	-7.830063	4.661554	-4.274659	2.638343
1967.3	-7.82532	4.654018	-4.270247	2.637628
1967.4	-7.812695	4.644671	-4.266353	2.636912
1968.1	-7.792308	4.641605	-4.256872	2.633506
1968.2	-7.781042	4.625596	-4.24436	2.630089
1968.3	-7.763533	4.627113	-4.24817	2.626659
1968.4	-7.766507	4.621535	-4.243286	2.623218
1969.1	-7.748152	4.620802	-4.247602	2.618672
1969.2	-7.728209	4.634679	-4.24156	2.614106
1969.3	-7.724049	4.61451	-4.225354	2.609518
1969.4	-7.707266	4.603419	-4.221179	2.604909
1970.1	-7.691294	4.589637	-4.223849	2.60343
1970.2	-7.696625	4.593972	-4.214468	2.601949
1970.3	-7.683176	4.57555	-4.207761	2.600465
1970.4	-7.68114	4.576285	-4.213643	2.598979
1971.1	-7.671161	4.563018	-4.20528	2.599722
1971.2	-7.660023	4.528258	-4.199421	2.600465
1971.3	-7.659501	4.5376	-4.20086	2.601207
1971.4	-7.659155	4.54487	-4.19967	2.601949
1972.1	-7.655547	4.51949	-4.206896	2.599351
1972.2	-7.657851	4.500299	-4.203082	2.596746
1972.3	-7.651443	4.515703	-4.187756	2.594135
